form	lemma	POS	morph
བོད་ལྗོངས་	བོད་ལྗོངས་	PROPN
ངལ་རྩོལ་	ངལ་རྩོལ་	OTHER
གླུ་གཞས་	གླུ་གཞས་	OTHER
།		PUNCT
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
སྒྲོལ་	སྒྲོལ་	VERB
དཀ་	དཀའ་	VERB
ར་	ལ་	PART
གྱིསལེགསསྒྲིག་		NON_WORD
བྱ་	བྱ་	VERB
།		PUNCT
མིརིགསདཔེ་		NON_WORD
སྐྲུན་	སྐྲུན་	NO_POS
ཁང་	ཁང་	NOUN
།		PUNCT
དཔེ་སྐྲུན་	དཔེ་སྐྲུན་	OTHER
གསལ་	གསལ་	VERB
བཤད་	བཤད་	VERB
།		PUNCT
ཐུན་མོང་	ཐུན་མོང་	ADJ
མ་ཡིན་པ་	མ་ཡིན་པ་	OTHER
འི་	གི་	PART
དམངས་ཁྲོད་	དམངས་ཁྲོད་	OTHER
ཀྱི་	གི་	PART
རྩོམ་རིག་	རྩོམ་རིག་	NOUN
འདི་	འདི་	DET
ལྟ་བུ་	ལྟ་བུ་	NOUN
མྱུར་	མྱུར་	VERB
སྐྱོབ་	སྐྱོབ་	VERB
བྱེད་	བྱེད་	VERB
ཆེད་	ཆེད་	NOUN
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
སྒྲོལ་	སྒྲོལ་	VERB
དཀ་	དཀའ་	VERB
ར་	ལ་	PART
ལགས་	ལགས་	AUX
མཆོག་	མཆོག་	ADJ
ན་	ནས་	PART
ལེགས་སྒྲིག་	ལེགས་སྒྲིག་	OTHER
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
		
བོད་ལྗོངས་	བོད་ལྗོངས་	PROPN
ངལ་རྩོལ་	ངལ་རྩོལ་	OTHER
གླུ་གཞས་	གླུ་གཞས་	OTHER
		
ཞེས་་	ཞེས་པ་	PART
འི་	གི་	PART
དེབ་	དེབ་	NOUN
འདི་ཉིད་	འདི་ཉིད་	OTHER
དཔེ་སྐྲུན་	དཔེ་སྐྲུན་	OTHER
ཞུ་	ཞུ་	VERB
ཡོད་	ཡོད་	VERB
།		PUNCT
དེབ་	དེབ་	NOUN
འདི་	འདི་	DET
འི་	གི་	PART
ནང་	ནང་	NOUN
བོད་	བོད་	PROPN
རང་སྐྱོང་	རང་སྐྱོང་	OTHER
ལྗོངས་	ལྗོངས་	NOUN
ཀྱི་	གི་	PART
རྫོང་	རྫོང་	NOUN
ཁག་	ཁག་	NOUN
ན་	ནས་	PART
བསྡུས་པ་	བསྡུས་པ་	VERB
འི་	གི་	PART
དམངས་ཁྲོད་	དམངས་ཁྲོད་	OTHER
